timestep,import_capacity_kw,export_capacity_kw
0,5081.64616066399,3916.038708074411
1,4865.329356749033,3918.535324506695
2,2505.630908232296,2059.6251663335006
3,2474.4597927806753,2037.8987836357285
4,2646.0748759763046,2035.4778997896249
5,2517.654007621872,2036.3188373844205
6,5075.902164713867,4143.832917624635
7,4911.05890165753,4027.3082395901793
8,4899.213299327488,4170.286772124941
9,2727.93390084804,2206.991179479754
10,2457.1319319652944,1874.2543851621163
11,2678.1529990502845,1925.1915368083921
12,2708.144980544024,1763.3662866567108
13,5018.970006058593,3958.836005678959
14,4959.635907320319,4169.314902899862
15,4590.240307476023,3892.514840931845
16,2290.7027809570295,2099.8712783388023
17,2473.3555406637315,1894.2262796577486
18,2552.9865828188276,2035.027837404499
19,2645.278991525203,1958.603837978612
20,4854.318193443833,3831.614017869638
21,4740.830691557201,3884.868077165565
22,5044.3800948027565,3625.7807109288005
23,2439.3158416790016,1986.8272742458116
24,2281.5346000662544,1991.9226697132228
25,2491.9399271510374,1904.0456274327646
26,2810.6890942257314,1791.2709345822714
27,4834.315377994446,4039.44294227126
28,5383.177790423199,4140.930808054229
29,4754.81628610843,3760.7943279229776
30,2477.833389463386,2072.532609061344
31,2723.908824689513,2116.7484277830235
32,2328.474182626516,1894.9499876635773
33,2713.573668783413,1964.2025911430503
34,5097.166900150005,4168.4011852903595
35,4936.102399660755,3856.333373135853
36,4607.827561435291,4083.822001706566
37,2551.04551891284,2098.8618543096445
38,2487.8589720979853,1935.404244866631
39,2371.9664061355197,1956.488881766652
40,2491.603730233347,2032.8189110303213
41,4869.55953833927,3947.7383425645085
42,4925.441548601718,3639.584395577487
43,4512.12841697214,3800.6676105586666
44,2401.429241166278,1939.312929482738
45,2371.7072620467075,2174.086060679272
46,2617.838505541728,2117.7521029491695
47,2417.051410427374,2035.4034099462556
48,5037.943894798207,4057.303822253244
49,4741.462226512148,3821.5619166690026
50,4753.562905892215,3988.8495250766728
51,2776.020387257239,2087.8942955819825
52,2444.222290610647,1955.1280263426754
53,2542.128343541107,1848.3193268416594
54,2387.013739495316,1825.1406148330266
55,4872.281483437496,3985.393271530257
56,5501.237063392983,4118.091493995766
57,4506.17184878953,4299.18628645128
58,2601.1607889926613,1904.2386289177941
59,2614.938938572378,2013.7523277076848
60,2594.9064409257967,2126.8379495320364
61,2699.5431408045692,1931.7768979853743
62,4816.967193215371,3958.6687319835382
63,5127.89428464108,4282.835619698769
64,5533.884621280755,3950.593033794228
65,2405.452899214905,1906.6721733858064
66,2745.3379211387296,2089.1135913092985
67,2457.9079686798773,1931.9203304373043
68,2732.506527818765,1994.421200595988
69,4954.472726800249,4315.832394574688
70,5111.901126973452,3897.5457256786285
71,5324.9874697493315,4072.840892752521
72,2401.187160362854,2113.0932051123473
73,2556.2855196751766,2057.2171050852435
